in,out,Month_Start,Year_Start,in_up,in_down,out_up,out_down
410394434.28571427,2412437723.428571,256,0,410394434.28571427,0.0,2412437723.428571,0.0
420224009.14285713,2818192346.285714,0,0,420224009.14285713,0.0,2818192346.285714,0.0
408808969.14285713,2647645562.285714,0,0,0.0,408808969.14285713,0.0,2647645562.285714
403206194.28571427,2620964082.285714,0,0,0.0,403206194.28571427,0.0,2620964082.285714
370966398.85714287,2444956780.571429,0,0,0.0,370966398.85714287,0.0,2444956780.571429
409176268.5714286,2671850712.0,256,0,409176268.5714286,0.0,2671850712.0,0.0
404452130.28571427,2622711106.285714,0,0,0.0,404452130.28571427,0.0,2622711106.285714
414887120.0,2757785786.285714,0,0,414887120.0,0.0,2757785786.285714,0.0
433537330.28571427,3548488667.428571,0,0,433537330.28571427,0.0,3548488667.428571,0.0
446487878.85714287,3664681013.714286,256,0,446487878.85714287,0.0,3664681013.714286,0.0
442389469.71428573,3739470963.428571,0,0,0.0,442389469.71428573,3739470963.428571,0.0
350531963.4285714,3152459666.285714,0,0,0.0,350531963.4285714,0.0,3152459666.285714
186876098.2857143,1562611721.142857,0,0,0.0,186876098.2857143,0.0,1562611721.142857
124863605.0,1167902974.0,256,256,0.0,124863605.0,0.0,1167902974.0
215407228.0,1649283110.0,0,0,215407228.0,0.0,1649283110.0,0.0
339083324.3636364,2658775845.090909,0,0,339083324.3636364,0.0,2658775845.090909,0.0
371150746.28571427,2947165557.714286,0,0,371150746.28571427,0.0,2947165557.714286,0.0
441840086.85714287,3202534506.285714,0,0,441840086.85714287,0.0,3202534506.285714,0.0
415232989.71428573,2686403811.428571,256,0,0.0,415232989.71428573,0.0,2686403811.428571
347325557.3333333,2317421894.0,0,0,0.0,347325557.3333333,0.0,2317421894.0
382054796.5714286,2717830932.571429,0,0,382054796.5714286,0.0,2717830932.571429,0.0
382819300.5714286,2611001868.571429,0,0,382819300.5714286,0.0,0.0,2611001868.571429
405500234.28571427,2651425739.428571,256,0,405500234.28571427,0.0,2651425739.428571,0.0
410601789.3333333,2499276759.3333335,0,0,410601789.3333333,0.0,0.0,2499276759.3333335
602970522.2857143,2666791404.571429,0,0,602970522.2857143,0.0,2666791404.571429,0.0
581745550.8571428,2244170612.571429,0,0,0.0,581745550.8571428,0.0,2244170612.571429
224085532.57142857,995485278.8571428,256,0,0.0,224085532.57142857,0.0,995485278.8571428
161533041.7777778,603847766.2222222,0,0,0.0,161533041.7777778,0.0,603847766.2222222
249569814.4,1545176448.0,0,0,249569814.4,0.0,1545176448.0,0.0
382656144.0,2499699876.571429,0,0,382656144.0,0.0,2499699876.571429,0.0
388748365.71428573,2596770784.0,0,0,388748365.71428573,0.0,2596770784.0,0.0
594017222.8571428,2349780229.714286,256,0,594017222.8571428,0.0,0.0,2349780229.714286
334201136.6666667,2088259248.0,0,0,0.0,334201136.6666667,0.0,2088259248.0
343244602.28571427,2118812459.4285715,0,0,343244602.28571427,0.0,2118812459.4285715,0.0
302957062.85714287,1820209378.2857144,0,0,0.0,302957062.85714287,0.0,1820209378.2857144
234947456.0,1518797329.142857,256,0,0.0,234947456.0,0.0,1518797329.142857
250482432.72727272,1216025784.7272727,0,0,250482432.72727272,0.0,0.0,1216025784.7272727
